,Code,Site,Bank,Dist,Group,Abund,Biomass,PercC,PercN,d13C,d15N,Trophic,shortSite,SiteBank,d13Cadj,d15Nadj,PercCaq,PercNaq,Region,Width,WidthClass,WidthClass2,Order,OrderClass,Geomorph,Banks,VegFld,VegUp,VegShift,PercAq,PercAqAdj,PercAqRel
218,BELG1-LB/2 PrBeet,BELG1,LB,2,PrBeet,69,116.6,0.477,0.0978,-30.7,1.61,2,BELG1,BELG1LB,-34.19,-4.43,1,0.2634,Tagliamento,72,7,5to6,7,5to6,Meandering,Gradual,Barren,Overstory,Barren–Overstory,1,1,1
220,BELG1-LB/4 PrSpHu,BELG1,LB,4,PrSpHu,26,111.1,0.462,0.1177,-25.73,1.37,2,BELG1,BELG1LB,-29.22,-4.67,0.5341,0.2137,Tagliamento,72,7,5to6,7,5to6,Meandering,Gradual,Barren,Overstory,Barren–Overstory,0.5341,0.5341,0.289786585
221,BELG1-LB/4 PrBeet,BELG1,LB,4,PrBeet,26,55.2,0.5513,0.1108,-29.9,1.6,2,BELG1,BELG1LB,-33.39,-4.44,1,0.2614,Tagliamento,72,7,5to6,7,5to6,Meandering,Gradual,Barren,Overstory,Barren–Overstory,1,1,1
223,BELG1-LB/8 PrSpHu,BELG1,LB,8,PrSpHu,27,111.3,0.4637,0.1181,-26.02,1.76,2,BELG1,BELG1LB,-29.51,-4.28,0.5762,0.2946,Tagliamento,72,7,5to6,7,5to6,Meandering,Gradual,Barren,Overstory,Barren–Overstory,0.5762,0.5762,0.353963415
225,BELG1-LB/8 PrBeet,BELG1,LB,8,PrBeet,36,44.1,0.4729,0.0984,-28.94,1.8,2,BELG1,BELG1LB,-32.43,-4.24,1,0.3029,Tagliamento,72,7,5to6,7,5to6,Meandering,Gradual,Barren,Overstory,Barren–Overstory,1,1,1
227,BELG1-LB/16 PrSpHu,BELG1,LB,16,PrSpHu,39,101.2,0.4429,0.1231,-24.73,1.69,2,BELG1,BELG1LB,-28.22,-4.35,0.389,0.28,Tagliamento,72,7,5to6,7,5to6,Meandering,Gradual,Barren,Overstory,Barren–Overstory,0.389,0.389,0.068597561
231,BELG1-LB/32 PrSpHu,BELG1,LB,32,PrSpHu,31,103.8,0.4555,0.1195,-24.94,2.41,2,BELG1,BELG1LB,-28.43,-3.63,0.4194,0.4294,Tagliamento,72,7,5to6,7,5to6,Meandering,Gradual,Barren,Overstory,Barren–Overstory,0.4194,0.4194,0.114939024
234,BELG1-LB/71 PrSpHu,BELG1,LB,71,PrSpHu,21,28.7,0.441,0.1253,-24.42,2.45,2,BELG1,BELG1LB,-27.91,-3.59,0.344,0.4377,Tagliamento,72,7,5to6,7,5to6,Meandering,Gradual,Barren,Overstory,Barren–Overstory,0.344,0.344,0
236,BELG1-LB/79 PrSpHu,BELG1,LB,79,PrSpHu,42,18,0.4531,0.1288,-24.7,2.61,2,BELG1,BELG1LB,-28.19,-3.43,0.3846,0.4709,Tagliamento,72,7,5to6,7,5to6,Meandering,Gradual,Barren,Overstory,Barren–Overstory,0.3846,0.3846,0.061890244
239,BELG1-LB/79 PrBeet,BELG1,LB,79,PrBeet,4,11.1,0.5295,0.1184,-22.05,5.36,2,BELG1,BELG1LB,-25.54,-0.68,0,1,Tagliamento,72,7,5to6,7,5to6,Meandering,Gradual,Barren,Overstory,Barren–Overstory,0,0.344,0
278,BELG1-LB/64 PrSpWe,BELG1,LB,64,PrSpWe,7,14.9,0.4774,0.1323,-25.35,3.52,2,BELG1,BELG1LB,-28.84,-2.52,0.479,0.6597,Tagliamento,72,7,5to6,7,5to6,Meandering,Gradual,Barren,Overstory,Barren–Overstory,0.479,0.479,0.205792683
241,BELG1-RB/0 PrSpHu,BELG1,RB,0,PrSpHu,11,21.9,0.454,0.1266,-27.06,1.95,2,BELG1,BELG1RB,-30.55,-4.09,0.7271,0.334,Tagliamento,72,7,5to6,7,5to6,Meandering,Terrace,Overstory,Understory,Overstory–Understory,0.7271,0.7271,1
242,BELG1-RB/0 PrBeet,BELG1,RB,0,PrBeet,21,32.7,0.4864,0.1144,-26.93,3.88,2,BELG1,BELG1RB,-30.42,-2.16,0.7083,0.7343,Tagliamento,72,7,5to6,7,5to6,Meandering,Terrace,Overstory,Understory,Overstory–Understory,0.7083,0.7083,0.929981378
244,BELG1-RB/1 PrSpHu,BELG1,RB,1,PrSpHu,30,15,0.4311,0.1223,-26.12,3.96,2,BELG1,BELG1RB,-29.61,-2.08,0.5907,0.7509,Tagliamento,72,7,5to6,7,5to6,Meandering,Terrace,Overstory,Understory,Overstory–Understory,0.5907,0.5907,0.491992551
245,BELG1-RB/1 PrBeet,BELG1,RB,1,PrBeet,13,45.3,0.4634,0.1047,-25.55,2,2,BELG1,BELG1RB,-29.04,-4.04,0.508,0.3443,Tagliamento,72,7,5to6,7,5to6,Meandering,Terrace,Overstory,Understory,Overstory–Understory,0.508,0.508,0.183985102
250,BELG1-RB/2 PrSpHu,BELG1,RB,2,PrSpHu,7,9.7,0.4527,0.1271,-26.03,2.71,2,BELG1,BELG1RB,-29.52,-3.33,0.5777,0.4916,Tagliamento,72,7,5to6,7,5to6,Meandering,Terrace,Overstory,Understory,Overstory–Understory,0.5777,0.5777,0.443575419
254,BELG1-RB/4 PrSpHu,BELG1,RB,4,PrSpHu,28,8,0.4518,0.1299,-24.92,2.53,2,BELG1,BELG1RB,-28.41,-3.51,0.4165,0.4543,Tagliamento,72,7,5to6,7,5to6,Meandering,Terrace,Overstory,Understory,Overstory–Understory,0.4165,0.4586,0
256,BELG1-RB/6 PrSpHu,BELG1,RB,6,PrSpHu,6,11.9,0.4204,0.1204,-25.12,2.28,2,BELG1,BELG1RB,-28.61,-3.76,0.4456,0.4024,Tagliamento,72,7,5to6,7,5to6,Meandering,Terrace,Overstory,Understory,Overstory–Understory,0.4456,0.4586,0
260,BELG1-RB/8 PrSpHu,BELG1,RB,8,PrSpHu,13,6.8,0.4348,0.1244,-25.21,0.98,2,BELG1,BELG1RB,-28.7,-5.06,0.4586,0.1328,Tagliamento,72,7,5to6,7,5to6,Meandering,Terrace,Overstory,Understory,Overstory–Understory,0.4586,0.4586,0
264,BELG1-RB/16 PrSpHu,BELG1,RB,16,PrSpHu,18,41.1,0.4817,0.1111,-25.63,2.12,2,BELG1,BELG1RB,-29.12,-3.92,0.5196,0.3692,Tagliamento,72,7,5to6,7,5to6,Meandering,Terrace,Overstory,Understory,Overstory–Understory,0.5196,0.5196,0.227188082
265,BELG1-RB/16 PrBeet,BELG1,RB,16,PrBeet,4,9.5,0.4579,0.0951,-25.87,0.56,2,BELG1,BELG1RB,-29.36,-5.48,0.5545,0.0456,Tagliamento,72,7,5to6,7,5to6,Meandering,Terrace,Overstory,Understory,Overstory–Understory,0.5545,0.5545,0.35716946
269,BELG1-RB/16 PrSpWe,BELG1,RB,16,PrSpWe,4,5.1,0.4599,0.115,-26.26,1.68,2,BELG1,BELG1RB,-29.75,-4.36,0.611,0.278,Tagliamento,72,7,5to6,7,5to6,Meandering,Terrace,Overstory,Understory,Overstory–Understory,0.611,0.611,0.567597765
270,BELG1-RB/24 PrSpHu,BELG1,RB,24,PrSpHu,22,26.5,0.4531,0.1226,-25.12,1.45,2,BELG1,BELG1RB,-28.61,-4.59,0.4456,0.2302,Tagliamento,72,7,5to6,7,5to6,Meandering,Terrace,Overstory,Understory,Overstory–Understory,0.4456,0.4586,0
290,BELG1-RB/24 PrSpWe,BELG1,RB,24,PrSpWe,9,8,0.4564,0.134,-26.45,2.62,2,BELG1,BELG1RB,-29.94,-3.42,0.6387,0.473,Tagliamento,72,7,5to6,7,5to6,Meandering,Terrace,Overstory,Understory,Overstory–Understory,0.6387,0.6387,0.670763501
291,BELG1-RB/32 PrSpHu,BELG1,RB,32,PrSpHu,5,9,0.4581,0.127,-25.65,0.34,2,BELG1,BELG1RB,-29.14,-5.7,0.5225,0,Tagliamento,72,7,5to6,7,5to6,Meandering,Terrace,Overstory,Understory,Overstory–Understory,0.5225,0.5225,0.237988827
70,BOLZ1-LB/1 PrBeet,BOLZ1,LB,1,PrBeet,9,33.2,0.4754,0.0983,-27,0.96,2,BOLZ1,BOLZ1LB,-23.17,-3.89,0.3798,0.0689,Tagliamento,38,6,5to6,7,5to6,Meandering,Steep,Overstory,Overstory,None,0.3798,0.3798,0.658346334
73,BOLZ1-LB/1 PrSpHu,BOLZ1,LB,1,PrSpHu,16,31.1,0.4366,0.1231,-24.4,5.71,2,BOLZ1,BOLZ1LB,-20.57,0.86,0,1,Tagliamento,38,6,5to6,7,5to6,Meandering,Steep,Overstory,Overstory,None,0,0,0
74,BOLZ1-LB/1 PrSpWe,BOLZ1,LB,1,PrSpWe,2,15.4,0.4657,0.1359,-25.92,2.82,2,BOLZ1,BOLZ1LB,-22.09,-2.03,0.222,0.465,Tagliamento,38,6,5to6,7,5to6,Meandering,Steep,Overstory,Overstory,None,0.222,0.222,0.384815393
77,BOLZ1-LB/2 PrBeet,BOLZ1,LB,2,PrBeet,12,30.3,0.4883,0.0831,-28.35,-0.08,2,BOLZ1,BOLZ1LB,-24.52,-4.93,0.5769,0,Tagliamento,38,6,5to6,7,5to6,Meandering,Steep,Overstory,Overstory,None,0.5769,0.5769,1
78,BOLZ1-LB/2 PrSpWe,BOLZ1,LB,2,PrSpWe,5,6.8,0.2582,0.0648,-24.92,1.21,2,BOLZ1,BOLZ1LB,-21.09,-3.64,0.076,0.1221,Tagliamento,38,6,5to6,7,5to6,Meandering,Steep,Overstory,Overstory,None,0.076,0.076,0.131738603
81,BOLZ1-LB/4 PrSpHu,BOLZ1,LB,4,PrSpHu,9,36.2,0.4614,0.1154,-25.04,4.65,2,BOLZ1,BOLZ1LB,-21.21,-0.2,0.0935,0.8548,Tagliamento,38,6,5to6,7,5to6,Meandering,Steep,Overstory,Overstory,None,0.0935,0.0935,0.16207315
85,BOLZ1-LB/8 PrBeet,BOLZ1,LB,8,PrBeet,10,59.9,0.4613,0.0908,-27.5,1.64,2,BOLZ1,BOLZ1LB,-23.67,-3.21,0.4528,0.2137,Tagliamento,38,6,5to6,7,5to6,Meandering,Steep,Overstory,Overstory,None,0.4528,0.4528,0.784884729
87,BOLZ1-LB/8 PrSpHu,BOLZ1,LB,8,PrSpHu,10,14.5,0.4472,0.1115,-26.43,2.33,2,BOLZ1,BOLZ1LB,-22.6,-2.52,0.2965,0.3607,Tagliamento,38,6,5to6,7,5to6,Meandering,Steep,Overstory,Overstory,None,0.2965,0.2965,0.513953891
90,BOLZ1-LB/16 PrSpWe,BOLZ1,LB,16,PrSpWe,24,35.3,0.4308,0.1114,-25.89,2.72,2,BOLZ1,BOLZ1LB,-22.06,-2.13,0.2176,0.4437,Tagliamento,38,6,5to6,7,5to6,Meandering,Steep,Overstory,Overstory,None,0.2176,0.2176,0.377188421
91,BOLZ1-LB/16 PrSpHu,BOLZ1,LB,16,PrSpHu,18,34.7,0.4429,0.1178,-25.32,4.26,2,BOLZ1,BOLZ1LB,-21.49,-0.59,0.1344,0.7717,Tagliamento,38,6,5to6,7,5to6,Meandering,Steep,Overstory,Overstory,None,0.1344,0.1344,0.232969319
94,BOLZ1-LB/16 PrBeet,BOLZ1,LB,16,PrBeet,2,11.3,0.4782,0.1062,-18.7,1.84,2,BOLZ1,BOLZ1LB,-14.87,-3.01,0,0.2563,Tagliamento,38,6,5to6,7,5to6,Meandering,Steep,Overstory,Overstory,None,0,0,0
95,BOLZ1-RB/4 PrSpHu,BOLZ1,RB,4,PrSpHu,22,67.2,0.4212,0.1099,-25.86,4.72,2,BOLZ1,BOLZ1RB,-22.03,-0.13,0.2132,0.8697,Tagliamento,38,6,5to6,7,5to6,Meandering,Gradual,Understory,Overstory,Understory–Overstory,0.2132,0.2132,0.67006555
96,BOLZ1-RB/4 PrBeet,BOLZ1,RB,4,PrBeet,13,13,0.4421,0.0956,-25.51,3.08,2,BOLZ1,BOLZ1RB,-21.68,-1.77,0.1621,0.5204,Tagliamento,38,6,5to6,7,5to6,Meandering,Gradual,Understory,Overstory,Understory–Overstory,0.1621,0.1621,0.297887837
100,BOLZ1-RB/8 PrSpHu,BOLZ1,RB,8,PrSpHu,8,81.3,0.3995,0.1056,-26.13,4.56,2,BOLZ1,BOLZ1RB,-22.3,-0.29,0.2527,0.8356,Tagliamento,38,6,5to6,7,5to6,Meandering,Gradual,Understory,Overstory,Understory–Overstory,0.2527,0.2527,0.957756737
104,BOLZ1-RB/16 PrSpHu,BOLZ1,RB,16,PrSpHu,12,70.3,0.3983,0.1061,-26.17,5.26,2,BOLZ1,BOLZ1RB,-22.34,0.41,0.2585,0.9847,Tagliamento,38,6,5to6,7,5to6,Meandering,Gradual,Understory,Overstory,Understory–Overstory,0.2585,0.2585,1
105,BOLZ1-RB/16 PrBeet,BOLZ1,RB,16,PrBeet,12,15.2,0.4485,0.1006,-25.74,3.78,2,BOLZ1,BOLZ1RB,-21.91,-1.07,0.1957,0.6695,Tagliamento,38,6,5to6,7,5to6,Meandering,Gradual,Understory,Overstory,Understory–Overstory,0.1957,0.1957,0.542607429
107,BOLZ1-RB/32 PrSpHu,BOLZ1,RB,32,PrSpHu,8,32.5,0.43,0.1109,-25.36,4.56,2,BOLZ1,BOLZ1RB,-21.53,-0.29,0.1402,0.8356,Tagliamento,38,6,5to6,7,5to6,Meandering,Gradual,Understory,Overstory,Understory–Overstory,0.1402,0.1402,0.138383103
112,BOLZ1-RB/68 PrSpHu,BOLZ1,RB,68,PrSpHu,5,10,0.426,0.1098,-25.23,3.3,2,BOLZ1,BOLZ1RB,-21.4,-1.55,0.1212,0.5673,Tagliamento,38,6,5to6,7,5to6,Meandering,Gradual,Understory,Overstory,Understory–Overstory,0.1212,0.1212,0
114,BOLZ1-RB/132 PrSpHu,BOLZ1,RB,132,PrSpHu,38,95.3,0.4115,0.1066,-25.43,2.79,2,BOLZ1,BOLZ1RB,-21.6,-2.06,0.1504,0.4586,Tagliamento,38,6,5to6,7,5to6,Meandering,Gradual,Understory,Overstory,Understory–Overstory,0.1504,0.1504,0.212672979
117,BOLZ1-RB/132 PrBeet,BOLZ1,RB,132,PrBeet,1,12.9,0.4363,0.0988,-26.41,2.18,2,BOLZ1,BOLZ1RB,-22.58,-2.67,0.2936,0.3287,Tagliamento,38,6,5to6,7,5to6,Meandering,Gradual,Understory,Overstory,Understory–Overstory,0.2936,0.2585,1
118,BOLZ1-RB/145 PrBeet,BOLZ1,RB,145,PrBeet,18,87.5,0.47,0.0961,-25.21,3.54,2,BOLZ1,BOLZ1RB,-21.38,-1.31,0.1183,0.6184,Tagliamento,38,6,5to6,7,5to6,Meandering,Gradual,Understory,Overstory,Understory–Overstory,0.1183,0.1212,0
119,BOLZ1-RB/145 PrSpHu,BOLZ1,RB,145,PrSpHu,27,54.9,0.4517,0.1203,-25.57,1.61,2,BOLZ1,BOLZ1RB,-21.74,-3.24,0.1709,0.2073,Tagliamento,38,6,5to6,7,5to6,Meandering,Gradual,Understory,Overstory,Understory–Overstory,0.1709,0.1709,0.361981063
123,BOLZ1-RB/155 PrBeet,BOLZ1,RB,155,PrBeet,34,110.1,0.4394,0.0974,-24.31,3.65,2,BOLZ1,BOLZ1RB,-20.48,-1.2,0,0.6418,Tagliamento,38,6,5to6,7,5to6,Meandering,Gradual,Understory,Overstory,Understory–Overstory,0,0.1212,0
125,BOLZ1-RB/155 PrSpHu,BOLZ1,RB,155,PrSpHu,24,16,0.3925,0.1028,-25.82,1.7,2,BOLZ1,BOLZ1RB,-21.99,-3.15,0.2074,0.2265,Tagliamento,38,6,5to6,7,5to6,Meandering,Gradual,Understory,Overstory,Understory–Overstory,0.2074,0.2074,0.627822287
127,BOLZ1-RB/176 PrBeet,BOLZ1,RB,176,PrBeet,2,104.4,0.4797,0.1076,-26.34,0.66,2,BOLZ1,BOLZ1RB,-22.51,-4.19,0.2834,0.005,Tagliamento,38,6,5to6,7,5to6,Meandering,Gradual,Understory,Overstory,Understory–Overstory,0.2834,0.2585,1
135,BOLZ1-RB/176 PrSpHu,BOLZ1,RB,176,PrSpHu,5,11.6,0.4526,0.1237,-26.33,2.73,2,BOLZ1,BOLZ1RB,-22.5,-2.12,0.2819,0.4459,Tagliamento,38,6,5to6,7,5to6,Meandering,Gradual,Understory,Overstory,Understory–Overstory,0.2819,0.2585,1
164,BOLZ1-RB/0 PrBeet,BOLZ1,RB,0,PrBeet,37,42.3,0.4471,0.1091,-25.98,4.15,2,BOLZ1,BOLZ1RB,-22.15,-0.7,0.2308,0.7483,Tagliamento,38,6,5to6,7,5to6,Meandering,Gradual,Understory,Overstory,Understory–Overstory,0.2308,0.2308,0.798252003
201,BOLZ1-RB/0 PrSpHu,BOLZ1,RB,0,PrSpHu,3,5.1,0.4342,0.1255,-25.21,6.4,2,BOLZ1,BOLZ1RB,-21.38,1.55,0.1183,1,Tagliamento,38,6,5to6,7,5to6,Meandering,Gradual,Understory,Overstory,Understory–Overstory,0.1183,0.1212,0
1143,CORN1.6-LB/2 PrBeet,CORN1.6,LB,2,PrBeet,16,9.2,0.5329,0.0944,-27.04,0.01,2,CORN1,CORN1LB,-22.58,-1.27,0.9064,0.2615,Tagliamento,312,7,7+,6,5to6,Braided,Gradual,Barren,Overstory,Barren–Overstory,0.2615,0.2615,0.038065844
1182,CORN1.6-LB/4 PrBeet,CORN1.6,LB,4,PrBeet,74,278.5,0.4132,0.0672,-27.2,0.05,2,CORN1,CORN1LB,-22.74,-1.23,0.92,0.2678,Tagliamento,312,7,7+,6,5to6,Braided,Gradual,Barren,Overstory,Barren–Overstory,0.2678,0.2678,0.048868313
1183,CORN1.6-LB/4 PrSpHu,CORN1.6,LB,4,PrSpHu,16,13.1,0.4738,0.1123,-26.51,0.44,2,CORN1,CORN1LB,-22.05,-0.84,0.8612,0.3296,Tagliamento,312,7,7+,6,5to6,Braided,Gradual,Barren,Overstory,Barren–Overstory,0.3296,0.3296,0.154835391
1198,CORN1.6-LB/0 PrBeet,CORN1.6,LB,0,PrBeet,12,21.1,0.524,0.101,-26.87,1.37,2,CORN1,CORN1LB,-22.41,0.09,0.8919,0.477,Tagliamento,312,7,7+,6,5to6,Braided,Gradual,Barren,Overstory,Barren–Overstory,0.477,0.477,0.407578875
1207,CORN1.6-LB/1 PrSpHu,CORN1.6,LB,1,PrSpHu,6,124.6,0.3988,0.0756,-27.89,3.55,2,CORN1,CORN1LB,-23.43,2.27,0.9787,0.8225,Tagliamento,312,7,7+,6,5to6,Braided,Gradual,Barren,Overstory,Barren–Overstory,0.8225,0.8225,1
1208,CORN1.6-LB/1 PrBeet,CORN1.6,LB,1,PrBeet,2,5.7,0.5716,0.1123,-27.84,2.53,2,CORN1,CORN1LB,-23.38,1.25,0.9745,0.6609,Tagliamento,312,7,7+,6,5to6,Braided,Gradual,Barren,Overstory,Barren–Overstory,0.6609,0.6609,0.722908093
1223,CORN1.6-LB/16 PrSpWe,CORN1.6,LB,16,PrSpWe,5,5.9,0.4876,0.117,-26.56,-0.13,2,CORN1,CORN1LB,-22.1,-1.41,0.8655,0.2393,Tagliamento,312,7,7+,6,5to6,Braided,Gradual,Barren,Overstory,Barren–Overstory,0.2393,0.2393,0
1224,CORN1.6-LB/16 PrSpHu,CORN1.6,LB,16,PrSpHu,8,18.9,0.4227,0.0801,-26.71,0.23,2,CORN1,CORN1LB,-22.25,-1.05,0.8782,0.2963,Tagliamento,312,7,7+,6,5to6,Braided,Gradual,Barren,Overstory,Barren–Overstory,0.2963,0.2963,0.097736626
1287,CORN1.6-LB/8 PrBeet,CORN1.6,LB,8,PrBeet,14,411.5,0.5252,0.103,-27.05,-1.24,2,CORN1,CORN1LB,-22.59,-2.52,0.9072,0.0634,Tagliamento,312,7,7+,6,5to6,Braided,Gradual,Barren,Overstory,Barren–Overstory,0.0634,0.2393,0
1289,CORN1.6-LB/8 PrSpWe,CORN1.6,LB,8,PrSpWe,5,14.7,0.4058,0.0962,-26.06,-1,2,CORN1,CORN1LB,-21.6,-2.28,0.8229,0.1014,Tagliamento,312,7,7+,6,5to6,Braided,Gradual,Barren,Overstory,Barren–Overstory,0.1014,0.2393,0
1290,CORN1.6-LB/8 PrSpHu,CORN1.6,LB,8,PrSpHu,26,20.4,0.4769,0.1059,-26.56,0.62,2,CORN1,CORN1LB,-22.1,-0.66,0.8655,0.3582,Tagliamento,312,7,7+,6,5to6,Braided,Gradual,Barren,Overstory,Barren–Overstory,0.3582,0.3582,0.203875171
1299,CORN1.6-LB/0 PrSpHu,CORN1.6,LB,0,PrSpHu,5,27.3,0.3646,0.0933,-15.55,2.41,2,CORN1,CORN1LB,-11.09,1.13,0,0.6418,Tagliamento,312,7,7+,6,5to6,Braided,Gradual,Barren,Overstory,Barren–Overstory,0.6418,0.6418,0.69015775
1115,CORN1.1-RB/37 PrSpWe,CORN1.1,RB,37,PrSpWe,6,21.3,0.4626,0.1063,-27.19,1.1,2,CORN1,CORN1RB,-22.73,-0.18,0.9191,0.4342,Tagliamento,312,7,7+,6,5to6,Braided,Terrace,Barren,Overstory,Barren–Overstory,0.4342,0.4342,0.130822597
1116,CORN1.1-RB/19 PrSpHu,CORN1.1,RB,19,PrSpHu,5,17,0.4303,0.1113,-25.12,3.75,2,CORN1,CORN1RB,-20.66,2.47,0.7429,0.8542,Tagliamento,312,7,7+,6,5to6,Braided,Terrace,Barren,Overstory,Barren–Overstory,0.8542,0.8542,0.824578791
1118,CORN1.1-RB/19 PrBeet,CORN1.1,RB,19,PrBeet,18,9,0.5685,0.1222,-25.39,3.33,2,CORN1,CORN1RB,-20.93,2.05,0.7659,0.7876,Tagliamento,312,7,7+,6,5to6,Braided,Terrace,Barren,Overstory,Barren–Overstory,0.7876,0.7876,0.71456888
1119,CORN1.1-RB/4 PrSpHu,CORN1.1,RB,4,PrSpHu,14,123.7,0.4288,0.1062,-25.35,4.2,2,CORN1,CORN1RB,-20.89,2.92,0.7625,0.9255,Tagliamento,312,7,7+,6,5to6,Braided,Terrace,Barren,Overstory,Barren–Overstory,0.9255,0.9255,0.942352164
1121,CORN1.1-RB/32 PrSpWe,CORN1.1,RB,32,PrSpWe,5,12.4,0.4577,0.1101,-26.69,1.02,2,CORN1,CORN1RB,-22.23,-0.26,0.8766,0.4215,Tagliamento,312,7,7+,6,5to6,Braided,Terrace,Barren,Overstory,Barren–Overstory,0.4215,0.4215,0.109844731
1126,CORN1.1-RB/16 PrSpHu,CORN1.1,RB,16,PrSpHu,10,89.7,0.4351,0.0905,-25.92,4.19,2,CORN1,CORN1RB,-21.46,2.91,0.811,0.9239,Tagliamento,312,7,7+,6,5to6,Braided,Terrace,Barren,Overstory,Barren–Overstory,0.9239,0.9239,0.939709283
1131,CORN1.1-RB/1 PrSpHu,CORN1.1,RB,1,PrSpHu,27,230.4,0.4167,0.0883,-26.37,4.02,2,CORN1,CORN1RB,-21.91,2.74,0.8493,0.897,Tagliamento,312,7,7+,6,5to6,Braided,Terrace,Barren,Overstory,Barren–Overstory,0.897,0.897,0.895275851
1133,CORN1.1-RB/32 PrBeet,CORN1.1,RB,32,PrBeet,6,35.2,0.4507,0.0776,-28.21,1.97,2,CORN1,CORN1RB,-23.75,0.69,1,0.5721,Tagliamento,312,7,7+,6,5to6,Braided,Terrace,Barren,Overstory,Barren–Overstory,0.5721,0.5721,0.35860588
1135,CORN1.1-RB/8 PrSpHu,CORN1.1,RB,8,PrSpHu,20,321.8,0.3681,0.0724,-27.05,3.39,2,CORN1,CORN1RB,-22.59,2.11,0.9072,0.7971,Tagliamento,312,7,7+,6,5to6,Braided,Terrace,Barren,Overstory,Barren–Overstory,0.7971,0.7971,0.730260984
1140,CORN1.1-RB/37 PrBeet,CORN1.1,RB,37,PrBeet,4,74.6,0.5412,0.0761,-26.79,0.6,2,CORN1,CORN1RB,-22.33,-0.68,0.885,0.355,Tagliamento,312,7,7+,6,5to6,Braided,Terrace,Barren,Overstory,Barren–Overstory,0.355,0.355,0
1145,CORN1.1-RB/2 PrSpHu,CORN1.1,RB,2,PrSpHu,16,149.4,0.4084,0.0807,-26.68,4.42,2,CORN1,CORN1RB,-22.22,3.14,0.8757,0.9604,Tagliamento,312,7,7+,6,5to6,Braided,Terrace,Barren,Overstory,Barren–Overstory,0.9604,0.9604,1
1153,CORN1.1-RB/8 PrBeet,CORN1.1,RB,8,PrBeet,5,5.3,0.5451,0.0945,-27.6,3.1,2,CORN1,CORN1RB,-23.14,1.82,0.954,0.7512,Tagliamento,312,7,7+,6,5to6,Braided,Terrace,Barren,Overstory,Barren–Overstory,0.7512,0.7512,0.654443343
1155,CORN1.1-RB/0 PrSpHu,CORN1.1,RB,0,PrSpHu,54,590.3,0.4295,0.0847,-27.05,4.1,2,CORN1,CORN1RB,-22.59,2.82,0.9072,0.9097,Tagliamento,312,7,7+,6,5to6,Braided,Terrace,Barren,Overstory,Barren–Overstory,0.9097,0.9097,0.916253717
1156,CORN1.1-RB/0 PrBeet,CORN1.1,RB,0,PrBeet,5,15.1,0.5083,0.0919,-27.93,3.24,2,CORN1,CORN1RB,-23.47,1.96,0.982,0.7734,Tagliamento,312,7,7+,6,5to6,Braided,Terrace,Barren,Overstory,Barren–Overstory,0.7734,0.7734,0.691113314
1172,CORN1.1-RB/16 PrBeet,CORN1.1,RB,16,PrBeet,13,7.9,0.4705,0.0961,-26.28,2.4,2,CORN1,CORN1RB,-21.82,1.12,0.8416,0.6403,Tagliamento,312,7,7+,6,5to6,Braided,Terrace,Barren,Overstory,Barren–Overstory,0.6403,0.6403,0.471258672
1186,CORN1.1-RB/2 PrBeet,CORN1.1,RB,2,PrBeet,6,62,0.6346,0.0945,-31.34,1.79,2,CORN1,CORN1RB,-26.88,0.51,1,0.5436,Tagliamento,312,7,7+,6,5to6,Braided,Terrace,Barren,Overstory,Barren–Overstory,0.5436,0.5436,0.311529567
1205,CORN1.1-RB/24 PrSpHu,CORN1.1,RB,24,PrSpHu,5,18.6,0.484,0.1194,-26.29,2.67,2,CORN1,CORN1RB,-21.83,1.39,0.8425,0.683,Tagliamento,312,7,7+,6,5to6,Braided,Terrace,Barren,Overstory,Barren–Overstory,0.683,0.683,0.541790552
1214,CORN1.1-RB/24 PrBeet,CORN1.1,RB,24,PrBeet,1,12.4,0.5458,0.1018,-26.6,2.09,2,CORN1,CORN1RB,-22.14,0.81,0.8689,0.5911,Tagliamento,312,7,7+,6,5to6,Braided,Terrace,Barren,Overstory,Barren–Overstory,0.5911,0.5911,0.389990089
1414,DANU1.2-RB/4 PrBeet,DANU1.2,RB,4,PrBeet,1,15.5,0.5531,0.1208,-17.09,8.74,2,DANU1,DANU1RB,-42.79,4.7,0.0236,0.8546,Danube,450,7,7+,7,7,Point bars,Gradual,Barren,Overstory,Barren–Overstory,0.8546,0.8546,1
1416,DANU1.2-RB/8 PrSpHu,DANU1.2,RB,8,PrSpHu,13,11.3,0.5907,0.102,-17.3,8.6,2,DANU1,DANU1RB,-43,4.56,0.0081,0.805,Danube,450,7,7+,7,7,Point bars,Gradual,Barren,Overstory,Barren–Overstory,0.805,0.805,0.91959799
1417,DANU1.2-RB/8 PrBeet,DANU1.2,RB,8,PrBeet,3,23,0.5335,0.106,-17.34,7.39,2,DANU1,DANU1RB,-43.04,3.35,0.0052,0.3759,Danube,450,7,7+,7,7,Point bars,Gradual,Barren,Overstory,Barren–Overstory,0.3759,0.3759,0.224023343
1420,DANU1.2-RB/16 PrBeet,DANU1.2,RB,16,PrBeet,3,17.5,0.5005,0.1087,-17.06,7.87,2,DANU1,DANU1RB,-42.76,3.83,0.0258,0.5461,Danube,450,7,7+,7,7,Point bars,Gradual,Barren,Overstory,Barren–Overstory,0.5461,0.5461,0.49991895
